idx,row,col,lon_deg,lat_deg,elev_m,slope_deg,seg_dist_m,cum_dist_m,seg_time_s,cum_time_s
131,14888,12035,23.50683593001412,0.9208984375440511,-1984.1879606246948,0.8044137852942429,59.2252938,8420.87532584227,79.45460195560405,10981.110162311828
132,14887,12035,23.50683593001412,0.9228515625441446,-1984.5458269119263,0.982761696376522,59.2252938,8480.10061964227,70.71795250231526,11051.828114814143
133,14886,12035,23.50683593001412,0.9248046875442381,-1986.2158298492432,1.1193716220532135,59.2252938,8539.32591344227,72.663927923102,11124.492042737245
134,14885,12035,23.50683593001412,0.9267578125443315,-1986.2648248672485,0.8307296098014361,59.2252938,8598.55120724227,71.93600335023177,11196.428046087478
135,14884,12035,23.50683593001412,0.928710937544425,-1984.6928119659424,1.000758623377294,59.2252938,8657.77650104227,75.99825046645879,11272.426296553936
136,14883,12036,23.508789055014233,0.9306640625445186,-1982.4405908584595,0.3718608298584116,83.75721372749119,8741.533714769761,102.55842917526464,11374.9847257292
137,14882,12036,23.508789055014233,0.9326171875446121,-1983.1403493881226,0.6187773462024074,59.2252938,8800.759008569761,65.21878028612056,11440.203506015321
138,14881,12036,23.508789055014233,0.9345703125447056,-1982.8524589538574,0.920304797473925,59.2252938,8859.984302369761,69.89224808451108,11510.095754099832
139,14880,12037,23.51074218001429,0.9365234375447989,-1983.1689596176147,1.7208387886529708,83.75721372749119,8943.741516097252,108.64441817202223,11618.740172271853
140,14879,12038,23.512695305014404,0.9384765625448924,-1981.2936782836914,0.5283100062748677,83.75721372749119,9027.498729824743,110.1361218502186,11728.876294122072
141,14878,12039,23.51464843001449,0.9404296875449859,-1984.4070672988892,4.301125357154499,83.75721372749119,9111.255943552234,125.70216254786321,11854.578456669935
142,14877,12040,23.516601555014574,0.9423828125450794,-1990.716814994812,1.7996326094367066,83.75721372749119,9195.013157279725,147.2419781403228,12001.820434810257
143,14876,12040,23.516601555014574,0.944335937545173,-1992.2679662704468,1.1463954275971202,59.2252938,9254.238451079726,78.93265097195702,12080.753085782215
144,14875,12040,23.516601555014574,0.9462890625452665,-1992.023229598999,2.061704851577566,59.2252938,9313.463744879726,82.13024720267386,12162.88333298489
145,14874,12040,23.516601555014574,0.9482421875453599,-1989.7578954696655,2.1453947521761454,59.2252938,9372.689038679726,99.25052839605232,12262.133861380942
146,14873,12040,23.516601555014574,0.9501953125454534,-1989.0844821929932,0.8207222112055673,59.2252938,9431.914332479726,81.25871493221499,12343.392576313157
147,14872,12040,23.516601555014574,0.9521484375455469,-1990.3501272201538,1.9702682749123401,59.2252938,9491.139626279726,77.44670989006146,12420.83928620322
148,14871,12040,23.516601555014574,0.9541015625456405,-1993.1460618972778,0.9585304205517804,59.2252938,9550.364920079726,78.23536816620947,12499.07465436943
149,14870,12040,23.516601555014574,0.956054687545734,-1992.2890663146973,1.4054640807274994,59.2252938,9609.590213879726,77.70541766326298,12576.780072032692
150,14869,12040,23.516601555014574,0.9580078125458235,-1990.2890920639038,0.7119919399614606,59.2252938,9668.815507679727,79.44889790685392,12656.228969939546
151,14868,12040,23.516601555014574,0.959960937545917,-1991.4116859436035,1.3912547744887036,59.2252938,9728.040801479727,72.64498836738056,12728.873958306927
152,14867,12040,23.516601555014574,0.9619140625460105,-1991.452693939209,0.16095893132048544,59.2252938,9787.266095279727,68.64048258423506,12797.514440891162
153,14866,12040,23.516601555014574,0.963867187546104,-1991.7384386062622,1.1380694159467162,59.2252938,9846.491389079727,67.05551925184602,12864.569960143008
154,14865,12040,23.516601555014574,0.9658203125461975,-1992.0039176940918,2.123269916413643,59.2252938,9905.716682879727,81.59282019826642,12946.162780341274
155,14864,12040,23.516601555014574,0.967773437546291,-1992.3509359359741,2.162944054200924,59.2252938,9964.941976679727,90.81196640493313,13036.974746746208
156,14863,12040,23.516601555014574,0.9697265625463846,-1991.861343383789,1.2328328820569006,59.2252938,10024.167270479727,84.54412809339198,13121.5188748396
157,14862,12040,23.516601555014574,0.971679687546478,-1990.1878833770752,0.31005983510572666,59.2252938,10083.392564279728,73.84926400819032,13195.368138847789
158,14861,12040,23.516601555014574,0.9736328125465715,-1991.2288188934326,1.7184035522287677,59.2252938,10142.617858079728,71.57898261692533,13266.947121464715
159,14860,12040,23.516601555014574,0.975585937546665,-1993.698239326477,0.9015489974894608,59.2252938,10201.843151879728,76.07402785079579,13343.021149315511
160,14859,12040,23.516601555014574,0.9775390625467586,-1992.9229021072388,0.9800402843854827,59.2252938,10261.068445679728,73.86249083497961,13416.88364015049
161,14858,12040,23.516601555014574,0.9794921875468521,-1991.7597770690918,0.9208507078630565,59.2252938,10320.293739479728,75.22756891473529,13492.111209065226
162,14857,12040,23.516601555014574,0.9814453125469456,-1994.2495822906494,2.9749332906219026,59.2252938,10379.519033279728,84.9110956069221,13577.022304672148
163,14856,12040,23.516601555014574,0.983398437547039,-1997.3721504211426,1.9818787141494512,59.2252938,10438.744327079728,95.73823071110631,13672.760535383253
164,14855,12040,23.516601555014574,0.9853515625471324,-1997.3926544189453,1.594784928737107,59.2252938,10497.969620879729,84.62221457889862,13757.382749962151
165,14854,12040,23.516601555014574,0.9873046875472259,-1994.352102279663,2.246784158285066,59.2252938,10557.194914679729,98.66482168172304,13856.047571643874
166,14853,12039,23.51464843001449,0.9892578125473194,-1992.6776885986328,0.16998008987828536,83.75721372749119,10640.95212840722,109.74556136200479,13965.793133005878
167,14852,12039,23.51464843001449,0.9912109375474129,-1994.2084550857544,0.46473015851761174,59.2252938,10700.17742220722,62.75444584868188,14028.547578854561
168,14851,12039,23.51464843001449,0.9931640625475064,-1993.6167001724243,0.4193795242635537,59.2252938,10759.40271600722,66.33571057468569,14094.883289429246
169,14850,12039,23.51464843001449,0.9951171875475999,-1993.4537410736084,0.37829016976412916,59.2252938,10818.62800980722,64.58524752341789,14159.468536952665
170,14849,12038,23.512695305014404,0.9970703125476934,-1994.8517084121704,0.3489275584513798,83.75721372749119,10902.385223534711,89.77505747813866,14249.243594430804
171,14848,12038,23.512695305014404,0.9990234375477869,-1994.4730997085571,0.26681512407215485,59.2252938,10961.610517334711,63.99922551923612,14313.24281995004
172,14847,12038,23.512695305014404,1.0009765625478804,-1995.4029321670532,0.8633776294670673,59.2252938,11020.835811134712,65.98678809762555,14379.229608047664
173,14846,12038,23.512695305014404,1.0029296875479738,-1996.1984157562256,0.15079150387824367,59.2252938,11080.061104934712,65.20565379183383,14444.435261839499
174,14845,12038,23.512695305014404,1.0048828125480673,-1995.7098960876465,0.684606042037841,59.2252938,11139.286398734712,65.63345788468916,14510.068719724188
175,14844,12038,23.512695305014404,1.006835937548161,-1994.8168992996216,0.469544712717397,59.2252938,11198.511692534712,69.00834606008785,14579.077065784275
176,14843,12038,23.512695305014404,1.0087890625482545,-1995.0053691864014,0.4106347113914553,59.2252938,11257.736986334712,64.63222032804451,14643.70928611232
177,14842,12038,23.512695305014404,1.010742187548348,-1995.592474937439,0.6452122951675632,59.2252938,11316.962280134712,65.6723278953871,14709.381614007707
178,14841,12038,23.512695305014404,1.0126953125484413,-1995.9664344787598,1.1799234587713407,59.2252938,11376.187573934712,70.8929750544074,14780.274589062114
179,14840,12038,23.512695305014404,1.0146484375485347,-1996.4243173599243,1.4292679977812086,59.2252938,11435.412867734713,76.73914769531885,14857.013736757432
180,14839,12038,23.512695305014404,1.0166015625486282,-1998.8019466400146,2.0757848083811994,59.2252938,11494.638161534713,83.24337005002215,14940.257106807454
181,14838,12038,23.512695305014404,1.0185546875487217,-2000.7169246673584,0.6002064710244595,59.2252938,11553.863455334713,76.07004210527006,15016.327148912724
182,14837,12038,23.512695305014404,1.0205078125488154,-1998.2795715332031,1.6383521530931693,59.2252938,11613.088749134713,81.67192423458869,15097.999073147312
183,14836,12038,23.512695305014404,1.0224609375489089,-1997.3974227905273,0.5923880011082614,59.2252938,11672.314042934713,76.41656252385343,15174.415635671165
184,14835,12038,23.512695305014404,1.0244140625490024,-1997.7699518203735,0.903561633580642,59.2252938,11731.539336734713,68.66244456489905,15243.078080236064
